identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,lineItem/LegalEntity,product/ProductName,product/alarmType,product/availability,product/cacheEngine,product/callingType,product/capacitystatus,product/clockSpeed,product/country,product/cputype,product/currentGeneration,product/databaseEngine,product/dedicatedEbsThroughput,product/deploymentOption,product/description,product/durability,product/ecu,product/edition,product/endpointType,product/engineCode,product/enhancedNetworkingSupported,product/executionFrequency,product/executionLocation,product/frequencyMode,product/fromLocation,product/fromLocationType,product/group,product/groupDescription,product/instanceFamily,product/instanceType,product/instanceTypeFamily,product/licenseModel,product/lineType,product/location,product/locationType,product/maxIopsBurstPerformance,product/maxIopsvolume,product/maxThroughputvolume,product/maxVolumeSize,product/memory,product/memorytype,product/messageDeliveryFrequency,product/messageDeliveryOrder,product/minVolumeSize,product/networkPerformance,product/normalizationSizeFactor,product/operatingSystem,product/operation,product/physicalProcessor,product/preInstalledSw,product/processorArchitecture,product/processorFeatures,product/productFamily,product/queueType,product/region,product/requestType,product/servicecode,product/servicename,product/sku,product/softwareType,product/storage,product/storageClass,product/storageMedia,product/storageType,product/subscriptionType,product/tenancy,product/toLocation,product/toLocationType,product/transferType,product/usagetype,product/vcpu,product/version,product/volumeType,pricing/RateId,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/AmortizedUpfrontCostForUsage,reservation/AmortizedUpfrontFeeForBillingPeriod,reservation/EffectiveCost,reservation/EndTime,reservation/ModificationStatus,reservation/NormalizedUnitsPerReservation,reservation/RecurringFeeForUsage,reservation/StartTime,reservation/SubscriptionId,reservation/TotalReservedNormalizedUnits,reservation/TotalReservedUnits,reservation/UnitsPerReservation,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedNormalizedUnitQuantity,reservation/UnusedQuantity,reservation/UnusedRecurringFee,reservation/UpfrontValue
swwsxquzlnavk4brtn6yscudsvpvb7ulceao6hr5msdhn2qg6vjq,2019-11-01T00:00:00Z/2019-12-01T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Tax,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,AmazonEC2,APN1-NatGateway-Bytes,NatGateway,,,1.0000000000,,,USD,,0.0600000000,,0.0600000000,Tax for product code AmazonEC2 usage type APN1-NatGateway-Bytes operation NatGateway,CT,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636110801,,,,,,,,
f7d46gvysglxlefdhnoklzwuzxx7p5dz7ajs7lba2dxxlcnaaloa,2019-11-01T00:00:00Z/2019-12-01T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Tax,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,AmazonEC2,APN1-ElasticIP:IdleAddress,,,,1.0000000000,,,USD,,0.0200000000,,0.0200000000,Tax for product code AmazonEC2 usage type APN1-ElasticIP:IdleAddress,CT,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636110801,,,,,,,,
6f5l7smpvt7xydssgbfkmpocnzagmjrmzgor4igrw4wkbroalpjq,2019-11-01T00:00:00Z/2019-12-01T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Tax,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,AmazonECS,APN1-Fargate-vCPU-Hours:perCPU,,,,1.0000000000,,,USD,,1.3200000000,,1.3200000000,Tax for product code AmazonECS usage type APN1-Fargate-vCPU-Hours:perCPU,CT,"Amazon Web Services, Inc.",Amazon EC2 Container Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636110903,,,,,,,,
qclk6zvelvlhmsfvszrpdafs6srmwcq5ci5qhyrik6kb5v5iwgxa,2019-11-01T00:00:00Z/2019-12-01T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Tax,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,AmazonRDS,APN1-Aurora:StorageIOUsage,CreateDBInstance:0021,,,1.0000000000,,,USD,,0.0100000000,,0.0100000000,Tax for product code AmazonRDS usage type APN1-Aurora:StorageIOUsage operation CreateDBInstance:0021,CT,"Amazon Web Services, Inc.",Amazon Relational Database Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636110814,,,,,,,,
2cbvtsqxogt5dukll4web3alqx7uxr7a4wa2sbcinhbb5bgeibua,2019-11-01T00:00:00Z/2019-12-01T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Tax,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,AmazonRDS,APN1-Aurora:StorageUsage,CreateDBInstance:0021,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonRDS usage type APN1-Aurora:StorageUsage operation CreateDBInstance:0021,CT,"Amazon Web Services, Inc.",Amazon Relational Database Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636110814,,,,,,,,
kmewyyri5jdtlb2uyeumboy2fwgox25qkwkkico273eyj7pgzzpq,2019-11-01T00:00:00Z/2019-12-01T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Tax,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,AmazonEC2,APN1-BoxUsage:m3.xlarge,RunInstances,,,1.0000000000,,,USD,,0.1400000000,,0.1400000000,Tax for product code AmazonEC2 usage type APN1-BoxUsage:m3.xlarge operation RunInstances,CT,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636110801,,,,,,,,
smj6kfxvwoixjmnzg6s3s66kpkrjb4ndwchx7tqhoohrtiwgja7q,2019-11-01T00:00:00Z/2019-12-01T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Tax,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,AmazonKinesisFirehose,APN1-BilledBytes,PutRecordBatch,,,1.0000000000,,,USD,,0.0400000000,,0.0400000000,Tax for product code AmazonKinesisFirehose usage type APN1-BilledBytes operation PutRecordBatch,CT,"Amazon Web Services, Inc.",Amazon Kinesis Firehose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636110939,,,,,,,,
gxrr7rrcu524pxssdfiy3ygyebfedzociigzjyuy3i7wxad6jbia,2019-11-01T00:00:00Z/2019-12-01T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Tax,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,datapipeline,APN1-InactivePipelines,,,,1.0000000000,,,USD,,0.0100000000,,0.0100000000,Tax for product code datapipeline usage type APN1-InactivePipelines,CT,"Amazon Web Services, Inc.",AWS Data Pipeline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636110864,,,,,,,,
g2dhppjd72xj6o6ovf4hcfwtghmawdx64gs2zx5cevyhs6nkpqha,2019-11-01T00:00:00Z/2019-12-01T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Tax,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,AmazonCloudWatch,APN1-TimedStorage-ByteHrs,,,,1.0000000000,,,USD,,0.0500000000,,0.0500000000,Tax for product code AmazonCloudWatch usage type APN1-TimedStorage-ByteHrs,CT,"Amazon Web Services, Inc.",AmazonCloudWatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636110885,,,,,,,,
bunzffjww6s5kra47eac7ellohdlkv5adpjylgwv4fncqvyligta,2019-11-01T00:00:00Z/2019-12-01T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Tax,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,AWSDataTransfer,APN1-DataTransfer-Regional-Bytes,,,,1.0000000000,,,USD,,0.0100000000,,0.0100000000,Tax for product code AWSDataTransfer usage type APN1-DataTransfer-Regional-Bytes,CT,"Amazon Web Services, Inc.",AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636110802,,,,,,,,
